standard_code,risk_weight,risk_category,notes
000007,0.35,info,心电描述(其他)
000008,0.35,info,钙化总积分(其他)
000009,0.35,info,钙化积分分析(其他)
000010,0.35,info,需复核项目：(其他)
000011,0.35,info,外送校验项目(其他)
000012,0.35,info,骨密度结论(妇科特检)
010101,0.3,info,身高(一般检查)
010102,0.3,info,体重(一般检查)
010103,0.3,info,收缩压(一般检查)
010104,0.3,info,脉搏(一般检查)
010105,0.3,info,体重指数(一般检查)
010109,0.3,info,舒张压(一般检查)
010110,0.3,info,内脏脂肪(一般检查)
010111,0.3,info,左舒张压(一般检查)
010112,0.3,info,左收缩压(一般检查)
010113,0.3,info,身体脂肪分布(一般检查)
010114,0.3,info,腰围(一般检查)
010115,0.3,info,腰臀比(一般检查)
010116,0.3,info,体温(一般检查)
010117,0.3,info,臀围(一般检查)
010200,0.35,info,腰椎total-Z值(妇科特检)
010201,0.35,info,腰椎total-T值(妇科特检)
010202,0.35,info,髋关节total-T值(妇科特检)
010203,0.35,info,髋关节neck-T值(妇科特检)
010205,0.35,info,重金属汇总(其他)
010206,0.35,info,TS检查结果(其他)
010207,0.35,info,髋关节total-Z值(妇科特检)
010208,0.35,info,髋关节neck-Z值(妇科特检)
010209,0.35,info,前臂-T值(妇科特检)
010210,0.35,info,前臂-Z值(妇科特检)
010211,0.35,info,T值(妇科特检)
010212,0.35,info,Z值(妇科特检)
030101,0.55,warning,白细胞计数(血常规)
030102,0.55,warning,红细胞计数(血常规)
030103,0.55,warning,血红蛋白(血常规)
030104,0.55,warning,红细胞压积(血常规)
030105,0.55,warning,血小板(血常规)
030106,0.55,warning,血小板压积(血常规)
030107,0.55,warning,平均红细胞体积(血常规)
030108,0.55,warning,平均红细胞血红蛋白量(血常规)
030109,0.55,warning,平均红细胞血红蛋白浓度(血常规)
030110,0.55,warning,红细胞体积分布宽度(血常规)
030111,0.55,warning,平均血小板体积(血常规)
030112,0.55,warning,血小板分布宽度(血常规)
030113,0.55,warning,淋巴细胞比率(血常规)
030115,0.55,warning,中性粒细胞比率(血常规)
030116,0.55,warning,淋巴细胞绝对值(血常规)
030118,0.55,warning,中性粒细胞绝对值(血常规)
030119,0.55,warning,异常淋巴细胞(血常规)
030120,0.55,warning,异常淋巴细胞百分比(血常规)
030123,0.55,warning,单核细胞绝对值(血常规)
030124,0.55,warning,单核细胞百分比(血常规)
030125,0.55,warning,嗜酸性粒细胞(血常规)
030126,0.55,warning,嗜碱性粒细胞(血常规)
030127,0.55,warning,嗜酸性粒细胞百分比(血常规)
030128,0.55,warning,嗜碱性粒细胞百分比(血常规)
030133,0.55,warning,红细胞体积分布宽度(血常规)
030134,0.55,warning,巨大未成熟细胞数目(血常规)
030135,0.55,warning,巨大未成熟细胞百分比(血常规)
030136,0.55,warning,大血小板比率(血常规)
030137,0.55,warning,红细胞放散试验(血常规)
030138,0.55,warning,*血常规标本状态(血常规)
030139,0.55,warning,红细胞沉降率(血常规)
030140,0.55,warning,幼稚粒细胞绝对值(血常规)
030141,0.55,warning,幼稚粒细胞百分比(血常规)
030142,0.55,warning,ALBI肝功能评分(血常规)
030143,0.55,warning,APRI肝硬化评估(血常规)
030144,0.55,warning,终末期肝病模型MELD评分(血常规)
030145,0.55,warning,CRP与白蛋白比值CAR(血常规)
030146,0.55,warning,CALLY指数(血常规)
030147,0.55,warning,全身免疫炎症指数SII(血常规)
030148,0.55,warning,中性粒细胞/淋巴细胞比值NLR(血常规)
030149,0.55,warning,血小板/淋巴细胞比值PLR(血常规)
030200,0.45,warning,尿浊度(尿常规)
030201,0.45,warning,尿酸碱度(尿常规)
030202,0.45,warning,尿亚硝酸盐(尿常规)
030203,0.45,warning,尿透明度(尿常规)
