code,standard_name,abbreviation,aliases,category,common_unit,result_type
000007,心电描述,,,其他,,mixed
000008,钙化总积分,Agatston,,其他,,mixed
000009,钙化积分分析,,,其他,,mixed
000010,需复核项目：,,,其他,,mixed
000011,外送校验项目,,,其他,,mixed
000012,骨密度结论,,,妇科特检,,mixed
010101,身高,CM,,一般检查,cm,numeric
010102,体重,KG,,一般检查,kg,numeric
010103,收缩压,SPR,,一般检查,mmHg,numeric
010104,脉搏,PR,,一般检查,(次/分钟),numeric
010105,体重指数,BMI,,一般检查,,mixed
010109,舒张压,DPR,,一般检查,mmHg,numeric
010110,内脏脂肪,,,一般检查,,mixed
010111,左舒张压,DPR,,一般检查,mmHg,numeric
010112,左收缩压,SPR,,一般检查,mmHg,numeric
010113,身体脂肪分布,,,一般检查,,mixed
010114,腰围,,,一般检查,cm,numeric
010115,腰臀比,,,一般检查,,mixed
010116,体温,,,一般检查,℃,numeric
010117,臀围,,,一般检查,cm,numeric
010200,腰椎total-Z值,,,妇科特检,,mixed
010201,腰椎total-T值,,,妇科特检,,mixed
010202,髋关节total-T值,,,妇科特检,,mixed
010203,髋关节neck-T值,,,妇科特检,,mixed
010205,重金属汇总,,,其他,,mixed
010206,TS检查结果,,,其他,,mixed
010207,髋关节total-Z值,,,妇科特检,,mixed
010208,髋关节neck-Z值,,,妇科特检,,mixed
010209,前臂-T值,,,妇科特检,,mixed
010210,前臂-Z值,,,妇科特检,,mixed
010211,T值,,,妇科特检,,mixed
010212,Z值,ZScore,,妇科特检,,mixed
030101,白细胞计数,WBC,★白细胞计数(WBC);白细胞计数(WBC),血常规,,mixed
030102,红细胞计数,RBC,★红细胞计数(RBC);红细胞计数(RBC),血常规,,mixed
030103,血红蛋白,HGB,★血红蛋白(HGB);血红蛋白(HGB),血常规,,mixed
030104,红细胞压积,HCT,★红细胞压积(HCT);红细胞压积(HCT),血常规,,mixed
030105,血小板,PLT,★血小板(PLT);血小板(PLT),血常规,,mixed
030106,血小板压积,PCT,血小板压积(PCT),血常规,,mixed
030107,平均红细胞体积,MCV,平均红细胞体积(MCV),血常规,,mixed
030108,平均红细胞血红蛋白量,MCH,平均红细胞血红蛋白量(MCH),血常规,,mixed
030109,平均红细胞血红蛋白浓度,MCHC,平均红细胞血红蛋白浓度(MCHC),血常规,,mixed
030110,红细胞体积分布宽度,RDW-CV,红细胞体积分布宽度(RDW-CV),血常规,,mixed
030111,平均血小板体积,MPV,平均血小板体积(MPV),血常规,,mixed
030112,血小板分布宽度,PDW,血小板分布宽度(PDW),血常规,,mixed
030113,淋巴细胞比率,LYM%,淋巴细胞比率(LYM%),血常规,,mixed
030115,中性粒细胞比率,NEU%,中性粒细胞比率(NEU%),血常规,,mixed
030116,淋巴细胞绝对值,LYM#,淋巴细胞绝对值(LYM#),血常规,,mixed
030118,中性粒细胞绝对值,NEU#,中性粒细胞绝对值(NEU#),血常规,,mixed
030119,异常淋巴细胞,ALY#,异常淋巴细胞(ALY#),血常规,,mixed
030120,异常淋巴细胞百分比,ALY%,异常淋巴细胞百分比(ALY%),血常规,,mixed
030123,单核细胞绝对值,MON#,单核细胞绝对值(MON#),血常规,,mixed
030124,单核细胞百分比,MON%,单核细胞百分比(MON%),血常规,,mixed
030125,嗜酸性粒细胞,EOS#,嗜酸性粒细胞(EOS#),血常规,,mixed
030126,嗜碱性粒细胞,BAS#,嗜碱性粒细胞(BAS#),血常规,,mixed
030127,嗜酸性粒细胞百分比,EOS%,嗜酸性粒细胞百分比(EOS%),血常规,,mixed
030128,嗜碱性粒细胞百分比,BAS%,嗜碱性粒细胞百分比(BAS%),血常规,,mixed
030133,红细胞体积分布宽度,RDW-SD,红细胞体积分布宽度(RDW-SD),血常规,,mixed
030134,巨大未成熟细胞数目,LIC#,巨大未成熟细胞数目(LIC#),血常规,,mixed
030135,巨大未成熟细胞百分比,LIC%,巨大未成熟细胞百分比(LIC%),血常规,,mixed
030136,大血小板比率,P-LCR,大血小板比率(P-LCR),血常规,,mixed
030137,红细胞放散试验,,,血常规,,mixed
030138,*血常规标本状态,XCGBBBZ,,血常规,,mixed
030139,红细胞沉降率,ESR,,血常规,,mixed
030140,幼稚粒细胞绝对值,IG#,,血常规,,mixed
030141,幼稚粒细胞百分比,IG%,,血常规,,mixed
030142,ALBI肝功能评分,ALBI,,血常规,,mixed
030143,APRI肝硬化评估,APRI,,血常规,,mixed
030144,终末期肝病模型MELD评分,MELD,,血常规,,mixed
030145,CRP与白蛋白比值CAR,CAR,,血常规,,mixed
030146,CALLY指数,CALLY,,血常规,,mixed
030147,全身免疫炎症指数SII,SII,,血常规,,mixed
030148,中性粒细胞/淋巴细胞比值NLR,NLR,,血常规,,mixed
030149,血小板/淋巴细胞比值PLR,PLR,,血常规,,mixed
030200,尿浊度,TUR,尿浊度(TUR),尿常规,,qualitative
030201,尿酸碱度,PH,尿酸碱度(PH),尿常规,,mixed
030202,尿亚硝酸盐,NIT,尿亚硝酸盐(NIT),尿常规,,mixed
030203,尿透明度,,,尿常规,,mixed
030204,尿维生素C,VC,尿维生素C(VC),尿常规,,mixed
030205,尿比重,SG,尿比重(SG),尿常规,,mixed
030206,尿隐血,BLD,尿隐血(BLD),尿常规,,mixed
030207,尿蛋白质,PRO,尿蛋白质(PRO),尿常规,,mixed
030208,尿胆红素,BIL,尿胆红素(BIL),尿常规,,mixed
030209,尿胆原,URO,尿胆原(URO),尿常规,,mixed
030210,尿酮体,KET,尿酮体(KET),尿常规,,mixed
030211,尿镜检蛋白定性,PRO-,,尿常规,,mixed
030212,尿液颜色,COL,尿液颜色(COL),尿常规,,qualitative
030213,尿蛋白/肌酐,P/C,尿蛋白/肌酐(P/C),尿常规,,mixed
030214,其他,Other,其他(Other),尿常规,,mixed
030215,本周氏蛋白,,,尿常规,,mixed
030216,尿白细胞计数,WBC,尿白细胞计数(WBC),尿常规,,mixed
030217,尿管型透明(计数),CAST,尿管型透明(计数)(CAST),尿常规,,mixed
030218,尿管型颗粒,CAST,尿管型颗粒(CAST),尿常规,,mixed
030219,尿白蛋白,uALB,,尿常规,,mixed
030220,乳糜定性,rmdx,,尿常规,,mixed
030221,尿上皮细胞计数,EC,尿上皮细胞计数(EC),尿常规,,mixed
030223,尿白蛋白/肌酐,A/C,尿白蛋白/肌酐(A/C),尿常规,,mixed
030224,尿镜检红细胞(红细胞计数),RBC,尿镜检红细胞(红细胞计数)(RBC),尿常规,,mixed
030225,尿结晶管型,,,尿常规,,mixed
